=== Feedback - Started: 2025-10-13 16:50:04.885519 ===

[Stato_Feedback] Random event #1 - Value: 64
[Stato_Feedback] Random event #2 - Value: 41
[Stato_Feedback] Random event #3 - Value: 95
[Stato_Feedback] Random event #4 - Value: 12
[Stato_Feedback] Random event #5 - Value: 27
[Stato_Feedback] Random event #6 - Value: 97
[Stato_Feedback] Random event #7 - Value: 23
[Stato_Feedback] Random event #8 - Value: 36
[Stato_Feedback] Random event #9 - Value: 71
[Stato_Feedback] Random event #10 - Value: 85
[Stato_Feedback] Random event #11 - Value: 39
[Stato_Feedback] Random event #12 - Value: 42
[Stato_Feedback] Random event #13 - Value: 92
[Stato_Feedback] Random event #14 - Value: 5
[Stato_Feedback] Random event #15 - Value: 75
[Stato_Feedback] Random event #16 - Value: 58
[Stato_Feedback] Random event #17 - Value: 25
[Stato_Feedback] Random event #18 - Value: 72
[Stato_Feedback] Random event #19 - Value: 54
[Stato_Feedback] Random event #20 - Value: 19
[Stato_Feedback] Random event #21 - Value: 37
[Stato_Feedback] Random event #22 - Value: 78
[Stato_Feedback] Random event #23 - Value: 4
[Stato_Feedback] Random event #24 - Value: 13
[Stato_Feedback] Random event #25 - Value: 87
[Stato_Feedback] Random event #26 - Value: 15
[Stato_Feedback] Random event #27 - Value: 41
[Stato_Feedback] Random event #28 - Value: 45
[Stato_Feedback] Random event #29 - Value: 0
[Stato_Feedback] Random event #30 - Value: 9
[Stato_Feedback] Random event #31 - Value: 84
[Stato_Feedback] Random event #32 - Value: 37
[Stato_Feedback] Random event #33 - Value: 59
[Stato_Feedback] Random event #34 - Value: 43
[Stato_Feedback] Random event #35 - Value: 2
[Stato_Feedback] Random event #36 - Value: 6
[Stato_Feedback] Random event #37 - Value: 13
[Stato_Feedback] Random event #38 - Value: 98
[Stato_Feedback] Random event #39 - Value: 14
[Stato_Feedback] Random event #40 - Value: 86
[Stato_Feedback] Random event #41 - Value: 79
[Stato_Feedback] Random event #42 - Value: 95
[Stato_Feedback] Random event #43 - Value: 41
[Stato_Feedback] Random event #44 - Value: 93
[Stato_Feedback] Random event #45 - Value: 23
[Stato_Feedback] Random event #46 - Value: 58
[Stato_Feedback] Random event #47 - Value: 11
[Stato_Feedback] Random event #48 - Value: 1
[Stato_Feedback] Random event #49 - Value: 95
[Stato_Feedback] Random event #50 - Value: 25
[Stato_Feedback] Random event #51 - Value: 19
[Stato_Feedback] Random event #52 - Value: 2
[Stato_Feedback] Random event #53 - Value: 61
[Stato_Feedback] Random event #54 - Value: 81
[Stato_Feedback] Random event #55 - Value: 38
[Stato_Feedback] Random event #56 - Value: 88
[Stato_Feedback] Random event #57 - Value: 3
[Stato_Feedback] Random event #58 - Value: 78
[Stato_Feedback] Random event #59 - Value: 91
[Stato_Feedback] Random event #60 - Value: 41
[Stato_Feedback] Random event #61 - Value: 54
[Stato_Feedback] Random event #62 - Value: 90
[Stato_Feedback] Random event #63 - Value: 96
[Stato_Feedback] Random event #64 - Value: 29
[Stato_Feedback] Random event #65 - Value: 76
[Stato_Feedback] Random event #66 - Value: 47
[Stato_Feedback] Random event #67 - Value: 61
[Stato_Feedback] Random event #68 - Value: 92
[Stato_Feedback] Random event #69 - Value: 29
[Stato_Feedback] Random event #70 - Value: 55
[Stato_Feedback] Random event #71 - Value: 62
[Stato_Feedback] Random event #72 - Value: 92
[Stato_Feedback] Random event #73 - Value: 40
[Stato_Feedback] Random event #74 - Value: 75
[Stato_Feedback] Random event #75 - Value: 65
[Stato_Feedback] Random event #76 - Value: 27
[Stato_Feedback] Random event #77 - Value: 78
[Stato_Feedback] Random event #78 - Value: 93
[Stato_Feedback] Random event #79 - Value: 62
[Stato_Feedback] Random event #80 - Value: 34
[Stato_Feedback] Random event #81 - Value: 38
[Stato_Feedback] Random event #82 - Value: 18
[Stato_Feedback] Random event #83 - Value: 19
[Stato_Feedback] Random event #84 - Value: 87
[Stato_Feedback] Random event #85 - Value: 99
[Stato_Feedback] Random event #86 - Value: 70
[Stato_Feedback] Random event #87 - Value: 95
[Stato_Feedback] Random event #88 - Value: 92
[Stato_Feedback] Random event #89 - Value: 51
[Stato_Feedback] Random event #90 - Value: 67
[Stato_Feedback] Random event #91 - Value: 7
[Stato_Feedback] Random event #92 - Value: 82
[Stato_Feedback] Random event #93 - Value: 52
[Stato_Feedback] Random event #94 - Value: 36
[Stato_Feedback] Random event #95 - Value: 57
